"series","episode","first_name","last_name","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical","result","viewers"
"5",1,"Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire","Mum's Sunday Tea Lemon Curd Swiss Roll","Chocolate Ganache Surprises",5,"IN",8.51
"5",1,"Iain","Watters",31,"Construction Engineer","London/Belfast","Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream","Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",4,"IN",8.51
"5",1,"Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray","Black Forest Swiss Roll","Almond and Raspberry Mini Cakes",11,"IN",8.51
"5",1,"Richard","Burr",38,"Builder","Mill Hill, London","Pistachio and Strawberry Swiss Roll","Miniature Coffee & Walnut Cakes",10,"IN",8.51
"5",1,"Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire","Spanish Swiss Roll","Raspberry and Lemon Genoise Slices with Lemon Drizzles",7,"IN",8.51
"5",2,"Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray","Farthing Biscuits","Zulu Boats at Dawn",10,"IN",8.79
"5",2,"Richard","Burr",38,"Builder","Mill Hill, London","Rosemary Seeded Crackers","Pirates!",1,"STAR BAKER",8.79
"5",2,"Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex","Parmesan and Apple Biscuits","Tea Time",4,"IN",8.79
"5",2,"Iain","Watters",31,"Construction Engineer","London/Belfast","Za'atar and Fig Biscuits","Wild West Scene",11,"IN",8.79
"5",2,"Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent","Fenugreek and Carom Crackers","Day On The Beach",8,"IN",8.79
"5",2,"Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Fennel and Rye Thins","Hansel and Gretel Scene",2,"IN",8.79
"5",2,"Martha","Collison",17,"Student","Ascot, Berkshire","Caramelised Onion and Goat's Cheese Sandwich Biscuits","Ski Village Scene",5,"IN",8.79
"5",2,"Enwezor","Nzegwu",39,"Business Consultant","Portsmouth, Hampshire","Pumpkin and Sunflower Savoury Biscuits","Space Adventure Moon Scene",9,"OUT",8.79
"5",2,"Jordan","Cox",32,"IT Manager","Sneinton, Nottingham","Sourdough, Parmesan and Chilli Biscuits","Monster Attack",6,"IN",8.79
"5",2,"Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire","Parmesan Triangles","Express, First Class",7,"IN",8.79
"5",2,"Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire","Black Olive and Rosemary Biscuits with Caramelised Onion Glaze","George Versus The Dragon",3,"IN",8.79
"5",3,"Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex","Orange and Cardamom Rye Bread Knots","Prosciutto, Olive and Coriander Bread",1,"IN",9.28
"5",3,"Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Cider and Walnut Crusty Rolls","'Full English' Stromboli",5,"IN",9.28
